,updateDate,flatNumber,roomsNumber,floorsNumber,flatArea,balconyTerraceArea,totalArea,salesPrice,propStatus
0,2021-11-30,C 12 Apartmán C5.1,4,5,196.73,200.68,397.41,1067082.0,Voľný
1,2021-11-30,A 9 Apartmán A5.1,4,5,133.88,200.9,334.78,803376.0,Voľný
2,2021-11-30,C 11 Apartmán C4.3,3,4,103.44,14.88,118.32,,Predaný
3,2021-11-30,C 10 Apartmán C4.2,2,4,48.6,17.19,65.79,,Predaný
4,2021-11-30,C 9 Apartmán C4.1,3,4,90.03,7.93,97.96,377454.0,Voľný
5,2021-11-30,B 12 Byt B4.3,2,4,56.56,15.29,71.85,,Predaný
6,2021-11-30,B 11 Byt B4.2,4,4,127.59,26.31,154.0,575110.8,Voľný
7,2021-11-30,B 10 Byt B4.1,2,4,56.05,14.39,70.44,,Predaný
8,2021-11-30,A 8 Apartmán A4.2,3,4,94.02,7.0,101.02,390799.2,Voľný
9,2021-11-30,A 7 Apartmán A4.1,3,4,102.47,19.8,122.26,458013.6,Voľný
10,2021-11-30,C 8 Apartmán C3.3,3,3,103.44,14.88,118.32,448905.6,Voľný
11,2021-11-30,C 7 Apartmán C3.2,2,3,48.6,17.19,65.79,,Predaný
12,2021-11-30,C 6 Apartmán C3.1,3,3,90.03,7.93,97.96,,Predaný
13,2021-11-30,B 9 Byt B3.3,2,3,56.01,15.29,71.3,272556.0,Rezervovaný
14,2021-11-30,B 8 Byt B3.2,4,3,127.69,26.31,154.0,577803.6,Voľný
15,2021-11-30,B 7 Byt B3.1,2,3,56.05,14.39,70.44,270127.2,Voľný
16,2021-11-30,A 6 Apartmán A3.2,3,3,94.02,7.0,101.02,390799.2,Voľný
17,2021-11-30,Apartmán A3.1,3,3,102.46,19.8,122.26,458013.6,Voľný
18,2021-11-30,C 5 Apartmán C2.3,3,2,103.49,14.88,118.37,449103.6,Voľný
19,2021-11-30,C 4 Apartmán C2.2,1,2,32.93,9.72,42.65,,Predaný
20,2021-11-30,C 3 Apartmán C2.1,3,2,106.39,15.39,121.78,461934.0,Voľný
21,2021-11-30,B 6 Byt B2.3,2,2,56.01,15.29,71.3,272556.0,Voľný
22,2021-11-30,B 5 Byt B2.2,4,2,125.94,26.31,154.68,,Predaný
23,2021-11-30,B 4 Byt B2.1,2,2,56.05,14.39,70.44,270127.2,Voľný
24,2021-11-30,A 4 Apartmán A2.2,3,2,94.02,7.0,101.02,,Predaný
25,2021-11-30,A 3 Apartmán A2.1,3,2,102.46,19.8,122.26,458013.6,Voľný
26,2021-11-30,C 2 Apartmán C1.2,3,1,103.06,22.55,125.61,,Predaný
27,2021-11-30,C 1 Apartmán C1.1,2,1,74.21,37.36,111.57,410373.6,Voľný
28,2021-11-30,B 3 Byt B1.3,2,1,56.56,24.43,80.99,301123.2,Voľný
29,2021-11-30,B 2 Byt B1.2,3,1,127.56,16.47,144.03,548618.4,Voľný
30,2021-11-30,B 1 Byt B1.1,1,1,39.13,,39.13,164346.0,Rezervovaný
31,2021-11-30,A 1 Apartmán A1.1,2,1,91.07,23.09,114.16,438064.8,Voľný
32,2021-11-30,A 2 Apartmán A1.2,3,1,96.94,11.78,108.72,414981.6,Voľný
